FIPS,admin2,province,region,last_update,lat,long,confirmed,deaths,recovered,active,combined_key,incident_rate,case_fatality_ratio
,,Amazonas,Peru,2021-02-08 05:22:39,-5.077253,-78.050172,20066,292,0,19774,Amazonas, Peru,4701.499531396438,1.455197847104555
,,Ancash,Peru,2021-02-08 05:22:39,-9.407125,-77.67179499999997,38868,1727,0,37141,Ancash, Peru,3292.224292732509,4.443243799526603
,,Apurimac,Peru,2021-02-08 05:22:39,-14.027713,-72.975378,10093,223,0,9870,Apurimac, Peru,2343.394474111911,2.209452095511741
,,Arequipa,Peru,2021-02-08 05:22:39,-15.843524,-72.475539,55531,1837,0,53694,Arequipa, Peru,3708.494724188594,3.3080621634762566
,,Ayacucho,Peru,2021-02-08 05:22:39,-14.091648,-74.08344,17479,436,0,17043,Ayacucho, Peru,2615.833582759653,2.4944218776817895
,,Cajamarca,Peru,2021-02-08 05:22:39,-6.430284,-78.74559599999998,29641,713,0,28928,Cajamarca, Peru,2039.003921029098,2.40545190783037
,,Callao,Peru,2021-02-08 05:22:39,-11.954609,-77.136042,50895,2215,0,48680,Callao, Peru,4504.380918665369,4.3520974555457315
,,Cusco,Peru,2021-02-08 05:22:39,-13.191068,-72.153609,30464,638,0,29826,Cusco, Peru,2244.786677474025,2.094275210084034
,,Huancavelica,Peru,2021-02-08 05:22:39,-13.023888,-75.00277,8772,189,0,8583,Huancavelica, Peru,2401.313988502601,2.1545827633378933
,,Huanuco,Peru,2021-02-08 05:22:39,-9.421676,-76.040642,23878,665,0,23213,Huanuco, Peru,3140.6023937919244,2.7849903677024876
,,Ica,Peru,2021-02-08 05:22:39,-14.235097,-75.574821,37433,2019,0,35414,Ica, Peru,3838.494667760459,5.393636630780327
,,Junin,Peru,2021-02-08 05:22:39,-11.541783,-74.876968,37305,1246,0,36059,Junin, Peru,2739.9926551597505,3.34003484787562
,,La Libertad,Peru,2021-02-08 05:22:39,-7.92139,-78.370238,41292,2681,0,38611,La Libertad, Peru,2047.401824672749,6.492783105686332
,,Lambayeque,Peru,2021-02-08 05:22:39,-6.353049,-79.824113,36340,2067,0,34273,Lambayeque, Peru,2772.352761672261,5.687947165657677
,,Lima,Peru,2021-02-08 05:22:39,-11.766533,-76.60449799999998,536546,18525,0,518021,Lima, Peru,5048.181775415157,3.452639661837009
,,Loreto,Peru,2021-02-08 05:22:39,-4.124847,-74.424115,27921,1070,0,26851,Loreto, Peru,2717.107824056053,3.832240965581462
,,Madre de Dios,Peru,2021-02-08 05:22:39,-11.972699,-70.53171999999998,9832,168,0,9664,Madre de Dios, Peru,5657.077100115074,1.7087062652563059
,,Moquegua,Peru,2021-02-08 05:22:39,-16.860271,-70.839046,18461,430,0,18031,Moquegua, Peru,9580.176440062272,2.3292346026759114
,,Pasco,Peru,2021-02-08 05:22:39,-10.39655,-75.307635,8404,194,0,8210,Pasco, Peru,3090.8422214049288,2.30842455973346
,,Piura,Peru,2021-02-08 05:22:39,-5.133361,-80.335861,47301,2336,0,44965,Piura, Peru,2309.619140625,4.9385848079321795
,,Puno,Peru,2021-02-08 05:22:39,-14.995826999999998,-69.922726,21823,495,0,21328,Puno, Peru,1762.762520193861,2.2682490949915226
,,San Martin,Peru,2021-02-08 05:22:39,-7.039531,-76.729127,28151,842,0,27309,San Martin, Peru,3129.2796798577147,2.991012752655323
,,Tacna,Peru,2021-02-08 05:22:39,-17.644160999999997,-70.27756,17782,450,0,17332,Tacna, Peru,4792.9919137466295,2.5306489708694184
,,Tumbes,Peru,2021-02-08 05:22:39,-3.857496,-80.54525500000003,10607,401,0,10206,Tumbes, Peru,4217.495029821073,3.7805222965965872
,,Ucayali,Peru,2021-02-08 05:22:39,-9.621718,-73.444929,21813,449,0,21364,Ucayali, Peru,3702.766932609065,2.0584055379819373
,,Sin especificar,Argentina,2021-02-08 05:22:39,-38.4161,-63.6167,1980347,49171,1778965,152211,Argentina,4381.708052059818,2.482948695354905
,,Sin especificar,Bolivia,2021-02-08 05:22:39,-16.2902,-63.5887,227967,10796,168040,49131,Bolivia,1952.9378364433087,4.735773160150373
,,Acre,Brazil,2021-02-08 05:22:39,-9.0238,-70.812,50546,888,44202,5456,Acre, Brazil,5731.26137413755,1.7568155739326554
,,Alagoas,Brazil,2021-02-08 05:22:39,-9.5713,-36.782,120694,2805,114837,3052,Alagoas, Brazil,3616.454577679283,2.3240591910119806
,,Amapa,Brazil,2021-02-08 05:22:39,0.902,-52.003,78799,1079,58615,19105,Amapa, Brazil,9317.265182427982,1.3693067170903184
,,Amazonas,Brazil,2021-02-08 05:22:39,-3.4168,-65.8561,282739,9003,232091,41645,Amazonas, Brazil,6821.8695327917285,3.1842087579003957
,,Bahia,Brazil,2021-02-08 05:22:39,-12.5797,-41.7007,607946,10373,584179,13394,Bahia, Brazil,4087.563934371559,1.7062370671079339
,,Ceara,Brazil,2021-02-08 05:22:39,-5.4984,-39.3206,382597,10612,290977,81008,Ceara, Brazil,4189.594088004943,2.773675695313868
,,Distrito Federal,Brazil,2021-02-08 05:22:39,-15.7998,-47.8645,281002,4618,270957,5427,Distrito Federal, Brazil,9319.304287380091,1.6434046732763468
,,Espirito Santo,Brazil,2021-02-08 05:22:39,-19.1834,-40.3089,302841,5995,283465,13381,Espirito Santo, Brazil,7535.888917920197,1.9795866477788675
,,Goias,Brazil,2021-02-08 05:22:39,-15.827,-49.8362,360776,7707,346341,6728,Goias, Brazil,5140.464559068978,2.1362285739627915
,,Maranhao,Brazil,2021-02-08 05:22:39,-4.9609,-45.2744,209778,4775,196784,8219,Maranhao, Brazil,2964.9842173648985,2.2762158090934226
,,Mato Grosso,Brazil,2021-02-08 05:22:39,-12.6819,-56.9211,224185,5223,211509,7453,Mato Grosso, Brazil,6433.840938611541,2.329772286281419
,,Mato Grosso do Sul,Brazil,2021-02-08 05:22:39,-20.7722,-54.7852,165553,3012,155196,7345,Mato Grosso do Sul, Brazil,5957.316805482287,1.8193569430937524
,,Minas Gerais,Brazil,2021-02-08 05:22:39,-18.5122,-44.555,774111,15930,697254,60927,Minas Gerais, Brazil,3656.850313274858,2.057844417661033
,,Para,Brazil,2021-02-08 05:22:39,-1.9981,-54.9306,338670,7807,318167,12696,Para, Brazil,3936.7117814821004,2.3051938465172586
,,Paraiba,Brazil,2021-02-08 05:22:39,-7.24,-36.782,198124,4146,149792,44186,Paraiba, Brazil,4930.755050798543,2.092628858694555
,,Parana,Brazil,2021-02-08 05:22:39,-25.2521,-52.0215,569911,10388,416060,143463,Parana, Brazil,4984.372426798526,1.8227407437301615
,,Pernambuco,Brazil,2021-02-08 05:22:39,-8.8137,-36.9541,270801,10494,226973,33334,Pernambuco, Brazil,2833.5145778450324,3.8751703280268535
,,Piaui,Brazil,2021-02-08 05:22:39,-7.7183,-42.7289,162405,3127,158549,729,Piaui, Brazil,4961.617388589303,1.9254333302546105
,,Rio Grande do Norte,Brazil,2021-02-08 05:22:39,-5.4026,-36.9541,144780,3334,98586,42860,Rio Grande do Norte, Brazil,4128.487849362376,2.3028042547313166
,,Rio Grande do Sul,Brazil,2021-02-08 05:22:39,-30.0346,-51.2177,564216,10995,541779,11442,Rio Grande do Sul, Brazil,4959.164521374651,1.9487217661321197
,,Rio de Janeiro,Brazil,2021-02-08 05:22:39,-22.9068,-43.1729,537986,30597,499782,7607,Rio de Janeiro, Brazil,3116.0600993585667,5.687322718435052
,,Rondonia,Brazil,2021-02-08 05:22:39,-11.5057,-63.5806,131172,2346,108793,20033,Rondonia, Brazil,7380.719942607155,1.7884914463452566
,,Roraima,Brazil,2021-02-08 05:22:39,-2.7376,-62.0751,75712,896,70893,3923,Roraima, Brazil,12498.658711934244,1.183431952662722
,,Santa Catarina,Brazil,2021-02-08 05:22:39,-27.2423,-50.2189,594747,6524,569033,19190,Santa Catarina, Brazil,8300.971361609025,1.0969370169164367
,,Sao Paulo,Brazil,2021-02-08 05:22:39,-23.5505,-46.6333,1849334,54614,1604022,190698,Sao Paulo, Brazil,4027.3787028995307,2.953171249758021
,,Sergipe,Brazil,2021-02-08 05:22:39,-10.5741,-37.3857,140623,2827,123868,13928,Sergipe, Brazil,6117.5118414962235,2.010339702609104
,,Tocantins,Brazil,2021-02-08 05:22:39,-10.1753,-48.2982,104592,1419,95278,7895,Tocantins, Brazil,6649.771817815376,1.356700321248279
,,Antofagasta,Chile,2021-02-08 05:22:39,-23.6509,-70.3975,33262,681,30860,1721,Antofagasta, Chile,5474.919922177195,2.0473813961878418
,,Araucania,Chile,2021-02-08 05:22:39,-38.9489,-72.3311,33811,437,31828,1546,Araucania, Chile,3532.1930916901365,1.2924787790955605
,,Arica y Parinacota,Chile,2021-02-08 05:22:39,-18.594,-69.4785,13548,264,12659,625,Arica y Parinacota, Chile,5992.887095918042,1.9486271036315324
,,Atacama,Chile,2021-02-08 05:22:39,-27.5661,-70.0503,10673,133,10133,407,Atacama, Chile,3693.795337504845,1.2461351072800524
,,Aysen,Chile,2021-02-08 05:22:39,-45.9864,-73.7669,2662,23,2485,154,Aysen, Chile,2580.5075709106422,0.8640120210368144
,,Biobio,Chile,2021-02-08 05:22:39,-37.4464,-72.1416,63605,1123,59960,2522,Biobio, Chile,4085.6112358323617,1.765584466629982
,,Coquimbo,Chile,2021-02-08 05:22:39,-29.959,-71.3389,17933,357,16726,850,Coquimbo, Chile,2367.123996483568,1.9907433223665867
,,Los Lagos,Chile,2021-02-08 05:22:39,-41.9198,-72.1416,45194,466,42001,2727,Los Lagos, Chile,5453.549380481424,1.0311103243793425
,,Los Rios,Chile,2021-02-08 05:22:39,-40.231,-72.3311,15870,176,14651,1043,Los Rios, Chile,4123.823852696078,1.1090107120352868
,,Magallanes,Chile,2021-02-08 05:22:39,-52.368,-70.9863,20542,284,19730,528,Magallanes, Chile,12335.092744380994,1.382533346314867
,,Maule,Chile,2021-02-08 05:22:39,-35.5183,-71.6885,37841,739,34974,2128,Maule, Chile,3621.3215943346568,1.9529082212415105
,,Metropolitana,Chile,2021-02-08 05:22:39,-33.4376,-70.6505,348022,11488,331791,4743,Metropolitana, Chile,4892.891808692151,3.3009407451253083
,,Nuble,Chile,2021-02-08 05:22:39,-36.7226,-71.7622,14576,285,13580,711,Nuble, Chile,3032.81877784228,1.9552689352360044
,,OHiggins,Chile,2021-02-08 05:22:39,-34.5755,-71.0022,27243,695,25597,951,OHiggins, Chile,2978.8257677231004,2.5511140476452665
,,Tarapaca,Chile,2021-02-08 05:22:39,-19.9232,-69.5132,22305,376,21061,868,Tarapaca, Chile,6747.681193618064,1.6857206904281552
,,Valparaiso,Chile,2021-02-08 05:22:39,-33.0472,-71.6127,44748,1446,41942,1360,Valparaiso, Chile,2464.2298978689373,3.2314293376240277
,,Amazonas,Colombia,2021-02-08 05:22:39,-1.4429,-71.5724,4080,143,3778,159,Amazonas, Colombia,5327.135750564703,3.5049019607843137
,,Antioquia,Colombia,2021-02-08 05:22:39,7.1986,-75.3412,331650,6134,316256,9260,Antioquia, Colombia,5176.287188810167,1.8495401778983869
,,Arauca,Colombia,2021-02-08 05:22:39,7.0762,-70.7105,5448,158,5093,197,Arauca, Colombia,2078.009261025121,2.9001468428781205
,,Atlantico,Colombia,2021-02-08 05:22:39,10.6966,-74.8741,118104,3890,111565,2649,Atlantico, Colombia,4657.98493956065,3.293707241075662
,,Bolivar,Colombia,2021-02-08 05:22:39,8.6704,-74.03,64971,1306,62596,1069,Bolivar, Colombia,3138.528870446498,2.010127595388712
